Fixations_ID,Participant_ID,Image_ID,X Pos,Y Pos,Start Time,Stop Time,Duration,Samples in Fixation
39354,1,10,406,764,989.699,989.765,0.066,5
39301,1,10,408,736,968.438,968.505,0.067,5
39302,1,10,427,724,968.555,968.622,0.067,5
39267,1,10,447,423,959.375,959.475,0.1,7
39222,1,10,468,424,943.746,943.863,0.117,8
39264,1,10,472,456,958.175,958.558,0.383,24
39265,1,10,478,440,958.642,958.791,0.149,10
39266,1,10,479,542,959.041,959.125,0.084,6
39332,1,10,482,525,980.036,980.103,0.067,5
39308,1,10,488,533,971.52,971.62,0.1,7
39263,1,10,490,456,958.092,958.158,0.066,5
39327,1,10,493,475,977.903,977.97,0.067,5
39223,1,10,495,432,943.879,943.946,0.067,5
39300,1,10,498,611,968.172,968.239,0.067,5
39322,1,10,507,494,976.537,976.687,0.15,10
39245,1,10,508,438,952.326,952.476,0.15,10
39304,1,10,510,508,969.172,969.288,0.116,8
39261,1,10,518,440,957.625,957.709,0.084,6
39305,1,10,519,388,969.571,969.655,0.084,6
39262,1,10,522,444,957.725,958.025,0.3,19
39275,1,10,522,351,962.224,962.324,0.1,7
39244,1,10,529,449,952.159,952.293,0.134,9
39348,1,10,531,433,984.401,984.717,0.316,20
39237,1,10,535,477,949.494,949.894,0.4,25
39260,1,10,538,437,957.426,957.609,0.183,12
39276,1,10,544,354,962.357,962.44,0.083,6
39351,1,10,551,404,986.55,986.717,0.167,11
39321,1,10,554,461,976.304,976.437,0.133,9
39347,1,10,554,428,984.134,984.384,0.25,16
39251,1,10,556,525,954.042,954.125,0.083,6
39243,1,10,557,438,951.943,952.143,0.2,13
39228,1,10,559,400,945.795,945.895,0.1,7
39326,1,10,561,431,977.604,977.82,0.216,14
39255,1,10,562,527,955.275,955.575,0.3,19
39346,1,10,576,401,983.734,984.101,0.367,23
39242,1,10,581,442,951.71,951.926,0.216,14
39338,1,10,588,341,981.169,981.302,0.133,9
39310,1,10,593,1014,972.287,972.47,0.183,12
39325,1,10,593,428,977.47,977.537,0.067,5
39340,1,10,595,513,982.168,982.485,0.317,20
39341,1,10,596,531,982.518,982.585,0.067,5
39355,1,10,603,457,989.999,990.065,0.066,5
39352,1,10,605,440,988.582,989.249,0.667,41
39256,1,10,606,528,955.708,955.775,0.067,5
39225,1,10,608,412,944.629,944.729,0.1,7
39337,1,10,610,352,981.069,981.152,0.083,6
39307,1,10,615,931,971.021,971.221,0.2,13
39257,1,10,617,546,955.808,956.091,0.283,18
39353,1,10,619,445,989.266,989.366,0.1,7
39250,1,10,621,518,953.692,953.992,0.3,19
39342,1,10,627,530,982.635,982.718,0.083,6
39249,1,10,631,510,953.592,953.676,0.084,6
39303,1,10,635,493,968.755,968.888,0.133,9
39323,1,10,635,398,976.903,977.02,0.117,8
39333,1,10,635,395,980.169,980.252,0.083,6
39309,1,10,637,347,971.687,971.971,0.284,18
39334,1,10,648,385,980.269,980.435,0.166,11
39324,1,10,655,393,977.036,977.287,0.251,16
39236,1,10,656,399,949.044,949.127,0.083,6
39349,1,10,659,379,985.301,985.834,0.533,33
39314,1,10,660,342,973.703,973.787,0.084,6
39320,1,10,661,419,975.687,976.037,0.35,22
